124	136	14268	-101	-157	15	56	-10	-429
232	120	14344	-103	-159	4	57	-10	-428
228	-52	14376	-101	-143	6	57	-13	-428
116	156	14224	-97	-144	10	56	-10	-429
204	148	14276	-101	-152	33	56	-12	-429
148	32	14176	-104	-131	12	57	-11	-429
76	80	14292	-101	-139	9	56	-11	-429
188	104	14272	-105	-139	31	56	-12	-429
124	32	14256	-98	-149	9	58	-10	-428
112	128	14368	-101	-144	18	56	-13	-428
200	180	14276	-87	-154	39	57	-12	-428
244	64	14236	-118	-129	21	57	-10	-429
48	88	14356	-114	-139	26	57	-12	-429
212	60	14388	-123	-156	19	56	-9	-429
96	16	14320	-105	-151	21	57	-14	-428
164	-12	14284	-111	-128	30	57	-9	-428
124	-36	14360	-102	-139	16	57	-12	-429
200	-16	14348	-128	-145	24	57	-12	-429
228	-12	14196	-103	-154	23	56	-11	-428
216	116	14272	-100	-139	30	56	-12	-428
180	104	14216	-104	-148	16	56	-11	-428
184	72	14272	-119	-160	26	57	-11	-430
184	-8	14436	-103	-159	21	56	-11	-429
120	136	14348	-109	-146	21	55	-11	-430
200	208	14232	-92	-118	8	57	-13	-428
212	72	14316	-109	-158	5	56	-10	-429
188	104	14276	-103	-131	9	57	-11	-428
172	24	14220	-111	-155	14	57	-11	-428
176	12	14180	-110	-149	11	56	-10	-429
128	80	14336	-110	-134	20	56	-13	-429
168	164	14404	-115	-125	21	57	-10	-429
180	108	14320	-142	-132	12	56	-12	-429
132	180	14296	-95	-148	16	57	-11	-429
84	48	14300	-113	-138	15	57	-11	-428
96	40	14260	-92	-128	-6	56	-13	-428
156	-4	14108	-104	-155	17	55	-10	-428
188	72	14120	-112	-137	15	57	-13	-429
220	16	14292	-101	-164	47	57	-12	-428
216	120	14192	-96	-139	26	56	-11	-429
216	72	14292	-86	-140	20	57	-12	-429
172	124	14208	-124	-148	23	56	-9	-429
92	104	14304	-94	-129	21	56	-12	-428
112	104	14244	-119	-132	17	56	-11	-428
160	140	14328	-117	-130	25	57	-12	-429
128	120	14196	-101	-155	24	57	-12	-429
136	12	14180	-106	-152	23	57	-11	-429
224	92	14328	-112	-123	22	56	-13	-429
80	132	14216	-120	-156	21	56	-11	-428
176	208	14372	-110	-152	24	57	-11	-429
236	156	14408	-112	-155	2	57	-12	-428
208	104	14324	-103	-137	19	56	-11	-428
104	124	14276	-101	-140	13	56	-13	-428
200	128	14272	-107	-145	15	56	-11	-428
208	40	14472	-96	-147	11	57	-12	-429
160	96	14324	-89	-148	10	57	-12	-428
188	-12	14276	-112	-148	14	57	-11	-428
192	108	14272	-126	-136	7	57	-13	-428
124	128	14292	-109	-127	15	56	-10	-428
136	56	14352	-104	-145	20	57	-11	-430
196	48	14280	-108	-132	-2	56	-12	-429
180	164	14268	-96	-156	31	56	-10	-429
204	132	14228	-87	-119	16	57	-12	-429
180	32	14328	-111	-149	12	56	-11	-428
276	108	14320	-90	-156	12	57	-12	-428
196	84	14324	-107	-141	21	56	-13	-428
184	-44	14216	-109	-155	17	56	-10	-428
124	176	14372	-106	-133	-2	56	-13	-429
148	44	14272	-91	-155	0	56	-11	-429
228	20	14316	-105	-136	-13	57	-11	-429
240	56	14272	-96	-148	-15	56	-12	-429
228	132	14476	-95	-141	28	57	-11	-427
200	128	14260	-90	-132	16	57	-12	-430
100	120	14312	-125	-134	16	57	-10	-429
212	160	14268	-114	-133	39	56	-12	-428
268	124	14308	-115	-148	38	57	-12	-428
152	76	14248	-105	-169	41	55	-10	-429
208	56	14236	-86	-127	9	56	-12	-428
216	60	14372	-98	-134	31	56	-11	-428
148	128	14236	-119	-135	18	56	-12	-429
176	64	14360	-99	-141	10	57	-12	-428
192	108	14240	-96	-125	15	57	-10	-429
284	64	14276	-98	-142	10	57	-12	-429
228	188	14260	-91	-167	7	57	-10	-428
228	16	14420	-120	-133	21	56	-12	-428
172	108	14360	-106	-154	13	55	-11	-429
192	160	14152	-109	-154	7	56	-10	-428
60	24	14368	-104	-146	10	57	-12	-429
176	176	14356	-93	-142	34	57	-11	-429
124	60	14340	-108	-142	10	56	-12	-429
152	16	14200	-126	-135	26	57	-9	-429
156	152	14148	-110	-153	12	57	-11	-429
164	24	14336	-102	-154	24	57	-11	-428
104	104	14388	-117	-142	20	56	-10	-428
176	156	14312	-117	-151	23	57	-12	-429
120	120	14384	-99	-141	-12	57	-10	-428
156	128	14076	-97	-133	9	56	-11	-429
196	92	14372	-102	-136	7	57	-12	-428
212	176	14276	-109	-153	17	56	-10	-428
304	40	14288	-103	-172	27	56	-13	-428
112	84	14400	-107	-143	21	56	-11	-428
140	24	14312	-139	-146	12	56	-12	-429
132	104	14272	-107	-171	0	57	-12	-429
208	16	14260	-92	-126	19	57	-10	-429
248	92	14272	-101	-141	6	57	-12	-429
224	172	14500	-101	-145	36	57	-10	-428
144	60	14296	-108	-153	9	56	-13	-429
92	120	14300	-97	-135	30	56	-11	-429
116	48	14236	-109	-127	-6	56	-10	-429
224	132	14264	-100	-139	23	56	-13	-428
92	20	14264	-117	-151	17	55	-11	-428
208	84	14316	-99	-146	15	56	-12	-429
292	48	14368	-109	-150	9	57	-12	-428
200	168	14232	-118	-131	22	58	-11	-429
192	60	14456	-89	-134	28	56	-12	-428
168	108	14364	-115	-139	9	56	-10	-428
168	-20	14408	-110	-149	-1	56	-13	-428
188	76	14192	-132	-147	11	55	-10	-427
84	156	14404	-98	-162	14	57	-11	-429
76	88	14244	-123	-127	6	56	-11	-428
172	84	14276	-104	-126	28	56	-10	-428
120	156	14280	-99	-157	17	56	-12	-428
136	124	14472	-94	-141	32	57	-10	-428
196	68	14316	-101	-149	7	56	-12	-428
124	40	14208	-117	-137	18	56	-12	-429
